ssO_Key,aasC_Cnt,Ring Count 4 (RNGCNT4),ALOGP4 (ALOGP4),ssssC_Avg,Total structure connectivity (TSC),Mean Square Distance Balaban (MSDB),Ring Count 3 (RNGCNT3),Ring bridge count (RNGBDGE),Molecule cyclized degree (MCD),tsc_combined,Maximal electrotopological positive variation (MEPV),topo_combined,zagreb_combined,connectivity_combined
0.0,0.5,0.0,0.5071731020388821,0.9489862494533259,0.3936721465283773,0.30421454611425425,0.0,0.6097560975609756,0.5761317032037797,0.0,0.5651233189222696,0.4287716902414176,0.34184957464011667,0.44793039963340403
0.0,0.5,0.0,0.5753511389661715,0.8356379937878093,0.36923554050385826,0.2835808014205774,0.5,0.5609756097560976,0.6913580376223135,0.0,0.5674374606877125,0.40703511256952696,0.3747640080927366,0.477334244574852
0.0,0.6000000000000001,0.0,0.45487733988510853,0.2035945224995903,0.1946664556256526,0.18814343166069603,0.0,0.3902439024390244,0.6127945707544589,0.0,0.8960882768946116,0.7163644212955929,0.8058550456983105,0.8153019661913674
0.0,0.5,0.0,0.2851721849388456,0.9319987216885356,0.3490939073028209,0.3771233608152256,0.5,0.7073170731707317,0.5017920881189438,0.0,0.6818584349279204,0.47865700357458857,0.4800021545173733,0.45374102870426136
0.0,0.5,0.0,0.04963681439249395,0.6960153540644022,0.1959111616348423,0.2233222957058496,0.0,0.5121951219512195,0.553086438394147,0.17555351618427406,0.8569244105252783,0.7153049623026457,0.6894437766653252,0.7972906860974538
1.0,0.9,0.0,0.49406239371224636,0.6885833106673065,0.3208555333738346,0.16849919571697947,0.0,0.3414634146341463,0.8582375578657584,0.0,0.8465439208928508,0.5503973747833383,0.5478695549155456,0.6124079804713556
0.0,0.4,0.0,0.04963681439249395,0.8295618825767588,0.36923554050385826,0.4137745611384853,0.5,0.5853658536585366,0.8065843616704772,0.0,0.6285504005167782,0.4650591234446667,0.3960703492131927,0.47068748960876305
1.0,0.6000000000000001,0.0,0.1990671965400137,0.5493188417100243,0.2655632679863604,0.28590929351292793,0.0,0.6341463414634146,0.4666666486913584,0.0,0.8657535996292596,0.7846453464653353,0.685983548105318,0.6892714961926744
1.0,0.30000000000000004,0.0,0.3664245378206279,0.8007930975274308,0.3806107324479144,0.3806339292901002,0.0,0.5365853658536586,0.8711110658041161,0.0,0.6444394970548866,0.3248200377037406,0.3845502975047758,0.4323869504489596
1.0,0.7000000000000001,0.0,0.1990671965400137,0.20281419631833447,0.21111091775537344,0.2145875885156332,0.0,0.5365853658536586,0.5546942398494273,0.0,0.8698122651291146,0.6572159348566363,0.7756834817000755,0.7392483465524425
