Estate,Polarity (Pol),Quadratic (QIndex),Pogliani (Pog),Ramification (Ram),Maximal electrotopological positive variation (MEPV),Reciprocal hyper-distance-path index (RHDPI),Kier Hall electronegativity (KHE),reciprocal distance square Randic-type index (RDSR),E-state topological parameter (ETP),Mean Square Distance Balaban (MSDB),zagreb_combined,topo_combined,connectivity_combined
0.14845748174350804,0.22302158273381295,0.34090909090909094,0.1818950862944162,0.25,0.5363693537618537,0.19521856257556253,0.1570161690140845,0.15405103205709278,0.1541157765376276,0.30421454611425425,0.18125668702734143,0.24686767468431683,0.2552102900651301
0.15176739785084326,0.2302158273381295,0.43181818181818177,0.1818950862944162,0.28125,0.5385657499849135,0.20030961328931635,0.14762649765258218,0.1613888531511214,0.15343736133904307,0.2835808014205774,0.19870869400814423,0.2343527197384029,0.2719632583894024
0.3506683268962154,0.4388489208633094,0.6136363636363636,0.38578680203045684,0.4375,0.850494527297404,0.39743151446017877,0.3615023474178404,0.34501686934750064,0.35922661969939385,0.18814343166069603,0.427283304246655,0.4124507819353615,0.464521835206232
0.20993529928575344,0.2589928057553957,0.40909090909090906,0.23857868020304568,0.3125,0.6471648857046404,0.2316629811426028,0.2300469483568075,0.18638965916839886,0.22116687984034433,0.3771233608152256,0.25450843513670734,0.27558942004144277,0.25852092120748627
0.3440405477040964,0.4316546762589928,0.5,0.3790185989847715,0.375,0.8133233524547248,0.39633409642715733,0.3573291830985916,0.3398556141420557,0.35063318684025285,0.2233222957058496,0.3655593106457243,0.4118407925541479,0.4542598301693468
0.1815765062869929,0.32374100719424465,0.5227272727272727,0.21489001015228426,0.3125,0.8034710311481206,0.24356852288675768,0.18153365258215964,0.20127866935793823,0.18600181190231158,0.16849919571697947,0.29049332751599766,0.31689433597775846,0.3489221058945957
0.1473528518781549,0.2589928057553957,0.43181818181818177,0.18274111675126903,0.28125,0.5965692103714273,0.19825480442185306,0.15492957746478875,0.15947744667305364,0.15094979959552185,0.4137745611384853,0.21000581733566026,0.2677603652677476,0.26817624088785375
0.35529744126001556,0.38848920863309355,0.5227272727272727,0.35109981725888323,0.4375,0.8217033047507563,0.3403482852495786,0.3620240187793427,0.2839480070041421,0.36216645688511934,0.28590929351292793,0.3637246160558464,0.4517639026604198,0.39271542771137335
0.12947215261884099,0.22302158273381295,0.36363636363636365,0.1649746192893401,0.1875,0.6116498558812564,0.17852865574660032,0.1408450704225352,0.14085636214234135,0.13263229615368333,0.3806339292901002,0.2038976148923793,0.18701693517509374,0.24635434240401757
0.3519914986414046,0.41007194244604317,0.5,0.38071065989847713,0.375,0.8255554618258605,0.3743961267529562,0.37089201877934275,0.31994855041758263,0.36058341753211237,0.2145875885156332,0.4112856311809191,0.37839571337414063,0.42118995519889524
0.135432385705279,0.18705035971223022,0.29545454545454547,0.14974619289340102,0.1875,0.4977382633303235,0.16085224600344705,0.13145539906103287,0.12418178383904685,0.130597017993479,0.34179550108549295,0.17190226876090747,0.18068555788788251,0.2001671718326152
0.22549945461880516,0.28057553956834536,0.34090909090909094,0.2233502538071066,0.25,0.747713876713366,0.2204794137807355,0.22065727699530518,0.17665663051537314,0.23100407932429873,0.2925868293928089,0.2786503781268179,0.3008162608566817,0.2735528262304897
0.39635550024812455,0.5035971223021583,0.6363636363636364,0.45177664974619286,0.46875,0.9480639331139205,0.4720092678591634,0.4272300469483568,0.4222637559213745,0.4060380173840924,0.04636600664055668,0.4682955206515416,0.4939555222772573,0.5259568723093206
0.3827860362546674,0.4532374100719425,0.5454545454545454,0.39932314720812173,0.40625,0.8403263724895269,0.4022895170007229,0.39488786854460095,0.34668338189755,0.3903211109642364,0.17992008053678243,0.412724485165794,0.4470511414051705,0.4707937684286809
0.29072824551678217,0.32374100719424465,0.4545454545454546,0.287648040609137,0.375,0.7657521298472503,0.2809617683837567,0.29160148356807514,0.22879466719433428,0.29601990446681115,0.3486922751850803,0.2915896538685282,0.3676575471028311,0.33954052990151906
0.22582925418292138,0.2877697841726619,0.43181818181818177,0.23181047715736036,0.34375,0.6990654651409036,0.23841674551765546,0.2258737840375587,0.19011885620906996,0.22953414037865444,0.374554653636876,0.2267263612565445,0.33524280760497743,0.30241598045874174
0.1271556086925788,0.2302158273381295,0.38636363636363635,0.16751269035532995,0.25,0.5474455679024419,0.18051285786264326,0.13615023474178406,0.1434406838008955,0.13025779411196142,0.5777977131260104,0.19749854566608493,0.2074162108091138,0.2473006807913953
